0; 1 2 3, 4 5 6, 7 8 9, 10 11 12, 13 14 15
1; 0 8 13, 2 6 11, 3 4 9, 5 10 15, 7 12 14
2; 0 6 14, 1 4 12, 3 11 13, 5 10 15, 7 8 9
3; 0 8 13, 1 7 10, 2 5 9, 4 11 14, 6 12 15
4; 0 8 13, 1 11 15, 2 5 9, 3 6 10, 7 12 14
5; 0 8 13, 1 4 12, 2 6 11, 3 7 15, 9 10 14
6; 0 1 9, 2 8 10, 3 7 15, 4 11 14, 5 12 13
7; 0 6 14, 1 11 15, 2 8 10, 3 4 9, 5 12 13
8; 0 7 11, 1 4 12, 2 5 9, 3 6 10, 13 14 15
9; 0 2 4, 1 6 8, 3 11 13, 5 10 15, 7 12 14
10; 0 2 4, 1 5 14, 3 11 13, 6 12 15, 7 8 9
11; 0 2 4, 1 6 8, 3 7 15, 5 12 13, 9 10 14
12; 0 6 14, 1 7 10, 2 5 9, 3 11 13, 4 8 15
13; 0 7 11, 1 5 14, 2 8 10, 3 4 9, 6 12 15
14; 0 2 4, 1 11 15, 3 6 10, 5 12 13, 7 8 9
15; 0 1 9, 2 8 10, 3 11 13, 4 5 6, 7 12 14
