0; 1 2 3, 4 5 6, 7 8 9, 10 11 12, 13 14 15, 16 20 21, 19 18 19
1; 0 5 15, 2 12 21, 3 4 20, 6 11 18, 7 10 14, 8 16 19, 9 13 17
2; 0 4 8, 1 5 13, 3 6 16, 7 10 14, 9 11 21, 12 15 20, 17 18 19
3; 0 18 20, 1 8 11, 2 12 21, 4 5 6, 7 16 17, 9 10 19, 13 14 15
4; 0 9 12, 1 8 11, 2 13 18, 3 14 17, 5 7 19, 6 10 15, 16 20 21
5; 0 7 21, 1 2 3, 4 12 18, 6 10 15, 8 16 19, 9 13 17, 11 14 20
6; 0 7 21, 1 15 19, 2 5 8, 3 4 20, 9 13 17, 10 11 12, 14 16 18
7; 0 11 16, 1 10 18, 2 6 14, 3 12 19, 4 13 21, 5 9 20, 8 15 17
8; 0 5 15, 1 17 20, 2 9 16, 3 12 19, 4 13 21, 6 11 18, 7 10 14
9; 0 6 17, 1 10 18, 2 12 21, 3 8 13, 4 15 16, 5 7 19, 11 14 20
10; 0 7 21, 1 15 19, 2 5 8, 3 6 16, 4 12 18, 9 13 17, 11 14 20
11; 0 10 13, 1 6 9, 2 12 21, 3 4 20, 5 7 19, 8 15 17, 14 16 18
12; 0 18 20, 1 5 13, 2 4 19, 3 6 16, 7 10 14, 8 15 17, 9 11 21
13; 0 4 8, 1 17 20, 2 6 14, 3 12 19, 5 10 16, 7 15 18, 9 11 21
14; 0 6 17, 1 15 19, 2 7 20, 3 8 13, 4 12 18, 5 10 16, 9 11 21
15; 0 4 8, 1 6 9, 2 13 18, 3 14 17, 5 7 19, 10 11 12, 16 20 21
16; 0 4 8, 1 15 19, 2 7 20, 3 10 21, 5 12 14, 6 11 18, 9 13 17
17; 0 4 8, 1 5 13, 2 7 20, 3 12 19, 6 10 15, 9 11 21, 14 16 18
18; 0 10 13, 1 12 16, 2 6 14, 3 4 20, 5 7 19, 8 15 17, 9 11 21
19; 0 7 21, 1 8 11, 2 10 17, 3 6 16, 4 12 18, 5 9 20, 13 14 15
20; 0 4 8, 1 12 16, 2 11 15, 3 5 18, 6 19 21, 7 10 14, 9 13 17
21; 0 14 19, 1 4 7, 2 9 16, 3 5 18, 6 13 20, 8 15 17, 10 11 12
